"AX","M","El","Z","E","J","Thalf","DThalf","Thalf_Seconds","Lambda_perSecond"
"141ND",141,"ND",60,756,"11/2-","62.0 S",8,62,0.0161290322580645
"141PM",141,"PM",61,0,"5/2+","20.90 M",5,1254,0.000797448165869219
"141SM",141,"SM",62,0,"1/2+","10.2 M",2,612,0.00163398692810458
"141SM",141,"SM",62,175.9,"11/2-","22.6 M",2,1356,0.000737463126843658
"141SM",141,"SM",62,175.8,"11/2-","22.6 M",2,1356,0.000737463126843658
"141SM",141,"SM",62,175.8,"11/2-","22.6 M",2,1356,0.000737463126843658
"141EU",141,"EU",63,0,"5/2+","40.7 S",7,40.7,0.0245700245700246
"141EU",141,"EU",63,96.45,"11/2-","2.7 S",3,2.7,0.37037037037037
"141EU",141,"EU",63,96.46,"11/2-","2.7 S",3,2.7,0.37037037037037
"141EU",141,"EU",63,96,"11/2-","2.7 S",3,2.7,0.37037037037037
"141GD",141,"GD",64,0,"1/2+","14 S",4,14,0.0714285714285714
"141GD",141,"GD",64,377.76,"11/2-","24.5 S",5,24.5,0.0408163265306122
"141TB",141,"TB",65,0,"5/2-","3.5 S",2,3.5,0.285714285714286
"141DY",141,"DY",66,0,"9/2-","0.9 S",2,0.9,1.11111111111111
"141HO",141,"HO",67,0,"7/2-","4.1 MS",1,0.0041,243.90243902439
"141HO",141,"HO",67,0,"7/2-","4.1 MS",1,0.0041,243.90243902439
"142XE",142,"XE",54,0,"0+","1.23 S",2,1.23,0.813008130081301
"142CS",142,"CS",55,0,"0-","1.684 S",14,1.684,0.593824228028504
"142CS",142,"CS",55,0,"0-","1.70 S",2,1.7,0.588235294117647
"142BA",142,"BA",56,0,"0+","10.6 M",2,636,0.00157232704402516
"142LA",142,"LA",57,0,"2-","91.1 M",5,5466,0.000182949140139041
"142CE",142,"CE",58,0,"0+","5E+16 Y",NA,1.57788e+24,6.33761756280579e-25
"142PR",142,"PR",59,0,"2-","19.12 H",4,68832,1.45281264528126e-05
"142PR",142,"PR",59,3.694,"5-","14.6 M",5,876,0.00114155251141553
"142PR",142,"PR",59,3.683,"5-","14.6 M",5,876,0.00114155251141553
"142PM",142,"PM",61,0,"1+","40.5 S",5,40.5,0.0246913580246914
"142PM",142,"PM",61,883.17,"8-","2.0 MS",2,0.002,500
"142PM",142,"PM",61,883.18,"8-","2.0 MS",2,0.002,500
"142PM",142,"PM",61,883,"8-","2.0 MS",2,0.002,500
"142SM",142,"SM",62,0,"0+","72.49 M",5,4349.4,0.000229916770129213
"142EU",142,"EU",63,0,"1+","2.34 S",12,2.34,0.427350427350427
"142EU",142,"EU",63,NA,"8-","1.223 M",8,73.38,0.0136276914690651
"142GD",142,"GD",64,0,"0+","70.2 S",6,70.2,0.0142450142450142
"142TB",142,"TB",65,0,"1+","597 MS",17,0.597,1.6750418760469
"142TB",142,"TB",65,279.7,"5-","303 MS",17,0.303,3.3003300330033
"142TB",142,"TB",65,279.7,"5-","303 MS",17,0.303,3.3003300330033
"142TB",142,"TB",65,279.8,"5-","303 MS",7,0.303,3.3003300330033
"142TB",142,"TB",65,279.8,"5-","303 MS",17,0.303,3.3003300330033
"142DY",142,"DY",66,0,"0+","2.3 S",3,2.3,0.434782608695652
"143XE",143,"XE",54,0,"5/2-","0.511 S",6,0.511,1.95694716242661
"143CS",143,"CS",55,0,"3/2+","1.791 S",7,1.791,0.558347292015634
"143BA",143,"BA",56,0,"5/2-","14.5 S",3,14.5,0.0689655172413793
"143LA",143,"LA",57,0,"7/2+","14.2 M",1,852,0.00117370892018779
"143CE",143,"CE",58,0,"3/2-","33.039 H",6,118940.4,8.40757219582244e-06
"143PR",143,"PR",59,0,"7/2+","13.57 D",2,1172448,8.52916291383498e-07
"143PM",143,"PM",61,0,"5/2+","265 D",7,22896000,4.3675751222921e-08
"143SM",143,"SM",62,0,"3/2+","8.75 M",6,525,0.0019047619047619
"143SM",143,"SM",62,753.99,"11/2-","66 S",2,66,0.0151515151515152
"143SM",143,"SM",62,2793.8,"23/2-","30 MS",3,0.03,33.3333333333333
"143SM",143,"SM",62,754.4,"11/2-","66 S",2,66,0.0151515151515152
"143SM",143,"SM",62,754.8,"11/2-","66 S",2,66,0.0151515151515152
"143SM",143,"SM",62,2794.7,"23/2-","30 MS",3,0.03,33.3333333333333
"143SM",143,"SM",62,754,"11/2-","66 S",2,66,0.0151515151515152
"143SM",143,"SM",62,754,"11/2-","66 S",2,66,0.0151515151515152
"143SM",143,"SM",62,754,"11/2-","66 S",2,66,0.0151515151515152
"143SM",143,"SM",62,2794,"23/2-","30 MS",3,0.03,33.3333333333333
"143EU",143,"EU",63,0,"5/2+","2.59 M",2,155.4,0.00643500643500644
"143GD",143,"GD",64,0,"1/2+","39 S",2,39,0.0256410256410256
"143GD",143,"GD",64,152.6,"11/2-","110.0 S",14,110,0.00909090909090909
"143GD",143,"GD",64,153,"11/2-","112 S",NA,112,0.00892857142857143
"143TB",143,"TB",65,0,"11/2-","12 S",1,12,0.0833333333333333
"143DY",143,"DY",66,0,"1/2+","5.6 S",10,5.6,0.178571428571429
"143DY",143,"DY",66,310.7,"11/2-","3.0 S",3,3,0.333333333333333
"144XE",144,"XE",54,0,"0+","1.15 S",20,1.15,0.869565217391304
"144CS",144,"CS",55,0,"1-","0.994 S",6,0.994,1.00603621730382
"144BA",144,"BA",56,0,"0+","11.5 S",2,11.5,0.0869565217391304
"144LA",144,"LA",57,0,"3-","40.8 S",4,40.8,0.0245098039215686
"144CE",144,"CE",58,0,"0+","284.91 D",5,24616224,4.06236147347375e-08
"144CE",144,"CE",58,0,"0+","284.893 D",8,24614755.2,4.06260388078123e-08
"144PR",144,"PR",59,0,"0-","17.28 M",5,1036.8,0.000964506172839506
"144PR",144,"PR",59,59.03,"3-","7.2 M",3,432,0.00231481481481481
"144ND",144,"ND",60,0,"0+","2.29E+15 Y",16,7.2266904e+22,1.38375929318904e-23
"144PM",144,"PM",61,0,"5-","363 D",14,31363200,3.18845015814713e-08
"144EU",144,"EU",63,0,"1+","10.2 S",1,10.2,0.0980392156862745
"144GD",144,"GD",64,0,"0+","4.47 M",6,268.2,0.00372856077554064
"144TB",144,"TB",65,0,"1+","1 S",NA,1,1
"144TB",144,"TB",65,396.9,"6-","4.25 S",15,4.25,0.235294117647059
"144TB",144,"TB",65,396.9,"6-","4.25 S",15,4.25,0.235294117647059
"144TB",144,"TB",65,396.9,"6-","4.5 S",15,4.5,0.222222222222222
"144DY",144,"DY",66,0,"0+","9.1 S",4,9.1,0.10989010989011
"144HO",144,"HO",67,0,"5-","0.7 S",1,0.7,1.42857142857143
"145CS",145,"CS",55,0,"3/2+","0.587 S",5,0.587,1.70357751277683
"145BA",145,"BA",56,0,"5/2-","4.31 S",16,4.31,0.232018561484919
"145LA",145,"LA",57,0,"5/2+","24.8 S",20,24.8,0.0403225806451613
"145CE",145,"CE",58,0,"5/2-","3.01 M",6,180.6,0.00553709856035437
"145PR",145,"PR",59,0,"7/2+","5.984 H",10,21542.4,4.64200831847891e-05
"145PM",145,"PM",61,0,"5/2+","17.7 Y",4,558569520,1.79028744712028e-09
"145SM",145,"SM",62,0,"7/2-","340 D",3,29376000,3.4041394335512e-08
"145EU",145,"EU",63,0,"5/2+","5.93 D",4,512352,1.951783149085e-06
"145EU",145,"EU",63,0,"5/2+","5.93 D",NA,512352,1.951783149085e-06
"145GD",145,"GD",64,0,"1/2+","23.0 M",4,1380,0.00072463768115942
"145GD",145,"GD",64,749.1,"11/2-","85 S",3,85,0.0117647058823529
"145GD",145,"GD",64,748.7,"11/2-","85 S",3,85,0.0117647058823529
"145GD",145,"GD",64,748.7,"11/2-","85 S",3,85,0.0117647058823529
"145GD",145,"GD",64,748.6,"11/2-","85 S",NA,85,0.0117647058823529
"145TB",145,"TB",65,NA,"11/2-","30.9 S",6,30.9,0.0323624595469256
"145TB",145,"TB",65,NA,"11/2-","30.9 S",7,30.9,0.0323624595469256
"145DY",145,"DY",66,0,"1/2+","6 S",2,6,0.166666666666667
"145DY",145,"DY",66,118.2,"11/2-","14.1 S",7,14.1,0.0709219858156028
"145DY",145,"DY",66,0,"1/2+","9.5 S",10,9.5,0.105263157894737
"145DY",145,"DY",66,118.2,"11/2-","14.1 S",7,14.1,0.0709219858156028
"145HO",145,"HO",67,0,"11/2-","2.4 S",1,2.4,0.416666666666667
"145ER",145,"ER",68,253,"11/2-","0.9 S",3,0.9,1.11111111111111
"145ER",145,"ER",68,253,"11/2-","0.7 S",NA,0.7,1.42857142857143
"146XE",146,"XE",54,0,"0+","146 MS",6,0.146,6.84931506849315
"146CS",146,"CS",55,0,"1-","0.3220 S",13,0.322,3.1055900621118
"146BA",146,"BA",56,0,"0+","2.21 S",6,2.21,0.452488687782805
"146LA",146,"LA",57,0,"2-","6.1 S",3,6.1,0.163934426229508
"146LA",146,"LA",57,NA,"6-","9.8 S",4,9.8,0.102040816326531
"146CE",146,"CE",58,0,"0+","13.49 M",16,809.4,0.00123548307388189
"146PR",146,"PR",59,0,"2-","24.09 M",10,1445.4,0.0006918500069185
"146ND",146,"ND",60,1376.9,"1-","4.6",14,4.6,0.217391304347826
"146ND",146,"ND",60,1471,"2+","0.7",4,0.7,1.42857142857143
"146ND",146,"ND",60,2356,"1+","17.2",22,17.2,0.0581395348837209
"146ND",146,"ND",60,2756.9,"1","26.8",37,26.8,0.0373134328358209
"146ND",146,"ND",60,2829.9,"1-","5.8",9,5.8,0.172413793103448
"146ND",146,"ND",60,3000,"1","25.6",37,25.6,0.0390625
"146ND",146,"ND",60,3275.6,"1+","16.3",24,16.3,0.0613496932515337
"146ND",146,"ND",60,3292,"1","10.8",26,10.8,0.0925925925925926
"146ND",146,"ND",60,3410.9,"1+","41.7",61,41.7,0.0239808153477218
"146ND",146,"ND",60,3428.9,"1","8.7",20,8.7,0.114942528735632
"146ND",146,"ND",60,3576.9,"1+","45.2",72,45.2,0.0221238938053097
"146ND",146,"ND",60,3633.9,"1","12.4",23,12.4,0.0806451612903226
"146ND",146,"ND",60,3750.9,"1-","20.5",36,20.5,0.0487804878048781
"146ND",146,"ND",60,3779.9,"1","17.5",31,17.5,0.0571428571428571
"146ND",146,"ND",60,3795.9,"1","15.2",30,15.2,0.0657894736842105
"146ND",146,"ND",60,3833,"1","9.3",27,9.3,0.10752688172043
"146ND",146,"ND",60,3892.9,"1","25.9",52,25.9,0.0386100386100386
"146ND",146,"ND",60,3974.9,"1","21.8",47,21.8,0.0458715596330275
"146ND",146,"ND",60,4014,"1","12.6",50,12.6,0.0793650793650794
"146ND",146,"ND",60,4042,"1","8.9",39,8.9,0.112359550561798
"146ND",146,"ND",60,7164,"1-","41",13,41,0.024390243902439
"146PM",146,"PM",61,0,"3-","5.53 Y",5,174513528,5.73021479458028e-09
"146SM",146,"SM",62,0,"0+","6.8E+7 Y",7,2.1459168e+15,4.66001291382779e-16
"146EU",146,"EU",63,0,"4-","4.61 D",3,398304,2.51064513537399e-06
"146GD",146,"GD",64,0,"0+","48.27 D",9,4170528,2.39777793123556e-07
"146TB",146,"TB",65,0,"1+","8 S",4,8,0.125
"146TB",146,"TB",65,NA,"5-","24.1 S",5,24.1,0.04149377593361
"146TB",146,"TB",65,NA,"10+","1.20 MS",3,0.0012,833.333333333333
"146TB",146,"TB",65,NA,"10+","1.20 MS",3,0.0012,833.333333333333
"146DY",146,"DY",66,0,"0+","33.2 S",7,33.2,0.0301204819277108
"146DY",146,"DY",66,2934.5,"10+","150 MS",20,0.15,6.66666666666667
"146DY",146,"DY",66,2934.5,"10+","150 MS",20,0.15,6.66666666666667
"146DY",146,"DY",66,2934.1,"10+","150 MS",20,0.15,6.66666666666667
"146HO",146,"HO",67,NA,"6-","3.32 S",22,3.32,0.301204819277108
"146ER",146,"ER",68,0,"0+","1.7 S",6,1.7,0.588235294117647
"146TM",146,"TM",69,0,"5-","68 MS",3,0.068,14.7058823529412
"146TM",146,"TM",69,182,"10+","198 MS",3,0.198,5.05050505050505
"146TM",146,"TM",69,0,"5-","68 MS",5,0.068,14.7058823529412
"147CS",147,"CS",55,0,"3/2+","0.2295 S",10,0.2295,4.35729847494553
"147BA",147,"BA",56,0,"5/2-","0.894 S",7,0.894,1.11856823266219
"147LA",147,"LA",57,0,"5/2+","4.06 S",4,4.06,0.246305418719212
"147CE",147,"CE",58,0,"5/2-","56.4 S",10,56.4,0.0177304964539007
"147PR",147,"PR",59,0,"3/2+","13.44 M",10,806.4,0.00124007936507937
"147ND",147,"ND",60,0,"5/2-","11.03 D",3,952992,1.04932675195595e-06
"147PM",147,"PM",61,0,"7/2+","2.6234 Y",4,82788207.84,1.20790149477887e-08
"147PM",147,"PM",61,0,"7/2+","2.6234 Y",2,82788207.84,1.20790149477887e-08
"147SM",147,"SM",62,0,"7/2-","1.073E11 Y",10,3.38613048e+18,2.95322346822264e-19
"147EU",147,"EU",63,0,"5/2+","24.1 D",6,2082240,4.80252036268634e-07
"147GD",147,"GD",64,0,"7/2-","38.06 H",12,137016,7.29841770304198e-06
"147TB",147,"TB",65,0,"1/2+","1.64 H",3,5904,0.000169376693766938
"147TB",147,"TB",65,50.6,"11/2-","1.83 M",6,109.8,0.00910746812386157
"147TB",147,"TB",65,50.6,"11/2-","1.83 M",6,109.8,0.00910746812386157
"147TB",147,"TB",65,50.6,"11/2-","1.83 M",6,109.8,0.00910746812386157
"147TB",147,"TB",65,0,"1/2+","1.64 H",3,5904,0.000169376693766938
"147DY",147,"DY",66,0,"1/2+","67 S",7,67,0.0149253731343284
"147DY",147,"DY",66,750.5,"11/2-","55.2 S",5,55.2,0.0181159420289855
"147DY",147,"DY",66,750.7,"11/2-","55.2 S",5,55.2,0.0181159420289855
"147HO",147,"HO",67,0,"11/2-","5.8 S",4,5.8,0.172413793103448
"147ER",147,"ER",68,0,"1/2+","3.2 S",12,3.2,0.3125
"147ER",147,"ER",68,NA,"11/2-","1.6 S",2,1.6,0.625
"147TM",147,"TM",69,0,"11/2-","0.58 S",3,0.58,1.72413793103448
"148BA",148,"BA",56,0,"0+","0.612 S",17,0.612,1.63398692810458
"148LA",148,"LA",57,0,"2-","1.26 S",8,1.26,0.793650793650794
"148CE",148,"CE",58,0,"0+","56.8 S",3,56.8,0.0176056338028169
"148PR",148,"PR",59,0,"1-","2.29 M",2,137.4,0.00727802037845706
"148PR",148,"PR",59,76.8,"4-","2.01 M",7,120.6,0.00829187396351575
"148PR",148,"PR",59,76.8,"4-","2.01 M",7,120.6,0.00829187396351575
"148PM",148,"PM",61,0,"1-","5.368 D",7,463795.2,2.15612408235359e-06
"148PM",148,"PM",61,0,"1-","5.368 D",2,463795.2,2.15612408235359e-06
"148SM",148,"SM",62,0,"0+","7E+15 Y",3,2.209032e+23,4.52686968771842e-24
"148EU",148,"EU",63,0,"5-","54.5 D",5,4708800,2.12368331634387e-07
"148GD",148,"GD",64,0,"0+","71.1 Y",12,2243745360,4.456833729118e-10
"148TB",148,"TB",65,0,"2-","60 M",1,3600,0.000277777777777778
"148TB",148,"TB",65,90.1,"9+","2.20 M",5,132,0.00757575757575758
"148DY",148,"DY",66,0,"0+","3.3 M",2,198,0.00505050505050505
"148HO",148,"HO",67,0,"1+","2.2 S",11,2.2,0.454545454545455
"148HO",148,"HO",67,NA,"5-","9.59 S",15,9.59,0.104275286757039
"148HO",148,"HO",67,NA,"10+","2.36 MS",6,0.00236,423.728813559322
"148HO",148,"HO",67,NA,"5-","9.59 S",15,9.59,0.104275286757039
"148HO",148,"HO",67,NA,"10+","2.62 MS",18,0.00262,381.679389312977
"148ER",148,"ER",68,0,"0+","4.6 S",2,4.6,0.217391304347826
"148TM",148,"TM",69,NA,"10+","0.7 S",2,0.7,1.42857142857143
"149LA",149,"LA",57,0,"3/2","1.091 S",34,1.091,0.916590284142988
"149CE",149,"CE",58,0,"3/2-","5.12 S",25,5.12,0.1953125
"149PR",149,"PR",59,0,"5/2+","2.26 M",8,135.6,0.00737463126843658
"149ND",149,"ND",60,0,"5/2-","1.726 H",5,6213.6,0.000160937298828376
"149PM",149,"PM",61,0,"7/2+","53.08 H",9,191088,5.23319099053839e-06
"149EU",149,"EU",63,0,"5/2+","93.1 D",4,8043840,1.2431873334129e-07
"149GD",149,"GD",64,0,"7/2-","9.28 D",10,801792,1.24720625798212e-06
"149TB",149,"TB",65,0,"1/2+","4.12 H",3,14832,6.74217907227616e-05
"149TB",149,"TB",65,35.75,"11/2-","4.17 M",5,250.2,0.00399680255795364
"149TB",149,"TB",65,35.75,"11/2-","4.17 M",NA,250.2,0.00399680255795364
"149DY",149,"DY",66,0,"7/2-","4.2 M",2,252,0.00396825396825397
"149DY",149,"DY",66,2660.94,"27/2-","0.490 S",15,0.49,2.04081632653061
"149DY",149,"DY",66,2661.2,"27/2-","0.490 S",15,0.49,2.04081632653061
"149DY",149,"DY",66,2661.8,"27/2-","0.490 S",15,0.49,2.04081632653061
"149DY",149,"DY",66,2661.7,"27/2-","0.490 S",15,0.49,2.04081632653061
"149DY",149,"DY",66,2661.2,"27/2-","0.490 S",15,0.49,2.04081632653061
"149DY",149,"DY",66,2660.8,"27/2-","0.490 S",15,0.49,2.04081632653061
"149HO",149,"HO",67,0,"11/2-","21.0 S",2,21,0.0476190476190476
"149HO",149,"HO",67,48.8,"1/2+","56 S",3,56,0.0178571428571429
"149HO",149,"HO",67,49,"1/2+","56 S",3,56,0.0178571428571429
"149HO",149,"HO",67,48.82,"1/2+","56 S",3,56,0.0178571428571429
"149HO",149,"HO",67,48.8,"1/2+","56 S",3,56,0.0178571428571429
"149ER",149,"ER",68,0,"1/2+","4 S",2,4,0.25
"149ER",149,"ER",68,741.69,"11/2-","9.6 S",6,9.6,0.104166666666667
"149ER",149,"ER",68,741.5,"11/2-","9.6 S",6,9.6,0.104166666666667
"149TM",149,"TM",69,0,"11/2-","0.9 S",2,0.9,1.11111111111111
"149YB",149,"YB",70,0,"1/2+","0.7 S",2,0.7,1.42857142857143
"150BA",150,"BA",56,0,"0+","0.259 S",5,0.259,3.86100386100386
"150LA",150,"LA",57,0,"3+","0.59 S",11,0.59,1.69491525423729
"150CE",150,"CE",58,0,"0+","4.0 S",6,4,0.25
"150PR",150,"PR",59,0,"1-","6.19 S",16,6.19,0.161550888529887
"150ND",150,"ND",60,0,"0+","0.91E19 Y",7,2.8717416e+26,3.48220745209109e-27
"150ND",150,"ND",60,853,"1-","3.3",14,3.3,0.303030303030303
"150ND",150,"ND",60,2269,"1","2.8",13,2.8,0.357142857142857
"150ND",150,"ND",60,2408,"1","1.7",8,1.7,0.588235294117647
"150ND",150,"ND",60,2414,"1-","14.9",20,14.9,0.0671140939597315
"150ND",150,"ND",60,2458,"1","5.6",11,5.6,0.178571428571429
"150ND",150,"ND",60,2496,"1","7.2",16,7.2,0.138888888888889
"150ND",150,"ND",60,2571,"1","3.4",12,3.4,0.294117647058824
"150ND",150,"ND",60,2681,"1+","7.0",14,7,0.142857142857143
"150ND",150,"ND",60,2895,"1+","12.1",17,12.1,0.0826446280991736
"150ND",150,"ND",60,2994,"1+","67.",7,67,0.0149253731343284
"150ND",150,"ND",60,3058,"1+","38.",4,38,0.0263157894736842
"150ND",150,"ND",60,3096,"1+","15.",3,15,0.0666666666666667
"150ND",150,"ND",60,3103,"1+","14.4",22,14.4,0.0694444444444444
"150ND",150,"ND",60,3221,"2+","7.5",18,7.5,0.133333333333333
"150ND",150,"ND",60,3327,"1","10.1",22,10.1,0.099009900990099
"150ND",150,"ND",60,3342,"1","11.8",21,11.8,0.0847457627118644
"150ND",150,"ND",60,3418,"1","14.",3,14,0.0714285714285714
"150ND",150,"ND",60,3553,"2+","8.3",22,8.3,0.120481927710843
"150ND",150,"ND",60,3606,"1","8.",3,8,0.125
"150ND",150,"ND",60,3642,"1","9.",3,9,0.111111111111111
"150ND",150,"ND",60,3653,"1","28.",5,28,0.0357142857142857
"150ND",150,"ND",60,3672,"1","19.",5,19,0.0526315789473684
"150ND",150,"ND",60,3706,"1","16.",5,16,0.0625
"150ND",150,"ND",60,3711,"1","19.",4,19,0.0526315789473684
"150ND",150,"ND",60,3720,"1","10.",4,10,0.1
"150ND",150,"ND",60,3751,"1","24.",5,24,0.0416666666666667
"150ND",150,"ND",60,3768,"1","9.",3,9,0.111111111111111
"150ND",150,"ND",60,3860,"1","7.",3,7,0.142857142857143
"150PM",150,"PM",61,0,"1-","2.698 H",15,9712.8,0.000102956922823491
"150SM",150,"SM",62,2551.3,"1","4.2",13,4.2,0.238095238095238
"150SM",150,"SM",62,2668.8,"1","10.3",14,10.3,0.0970873786407767
"150SM",150,"SM",62,2880.9,"1","2.9",13,2.9,0.344827586206897
"150SM",150,"SM",62,2885.7,"1","12.6",24,12.6,0.0793650793650794
"150SM",150,"SM",62,2976.3,"1","7.3",17,7.3,0.136986301369863
"150SM",150,"SM",62,3050.8,"1","11.1",16,11.1,0.0900900900900901
"150SM",150,"SM",62,3081.8,"1","39",4,39,0.0256410256410256
"150SM",150,"SM",62,3113.2,"1","20",3,20,0.05
"150SM",150,"SM",62,3214.8,"1","22.2",21,22.2,0.045045045045045
"150SM",150,"SM",62,3258.3,"1","8.6",25,8.6,0.116279069767442
"150SM",150,"SM",62,3322.9,"1","11.8",20,11.8,0.0847457627118644
"150SM",150,"SM",62,3416.9,"1","8.4",22,8.4,0.119047619047619
"150SM",150,"SM",62,3492.2,"1","49",4,49,0.0204081632653061
"150SM",150,"SM",62,3592.1,"1","19",4,19,0.0526315789473684
"150SM",150,"SM",62,3600.9,"1","7",3,7,0.142857142857143
"150SM",150,"SM",62,3702,"1","26",4,26,0.0384615384615385
"150SM",150,"SM",62,3790.2,"1","31",5,31,0.032258064516129
"150SM",150,"SM",62,4035.4,"1","14",7,14,0.0714285714285714
"150EU",150,"EU",63,0,"5-","36.9 Y",9,1164475440,8.58755767317858e-10
"150EU",150,"EU",63,41.7,"0-","12.8 H",1,46080,2.17013888888889e-05
"150EU",150,"EU",63,42.1,"0-","12.8 H",1,46080,2.17013888888889e-05
"150GD",150,"GD",64,0,"0+","1.79E+6 Y",8,5.6488104e+13,1.77028423542061e-14
"150TB",150,"TB",65,0,"2-","3.48 H",16,12528,7.98212005108557e-05
"150TB",150,"TB",65,461,"9+","5.8 M",2,348,0.0028735632183908
"150TB",150,"TB",65,474,"9+","5.8 M",2,348,0.0028735632183908
"150DY",150,"DY",66,0,"0+","7.17 M",5,430.2,0.00232450023245002
"150HO",150,"HO",67,0,"2-","72 S",4,72,0.0138888888888889
"150HO",150,"HO",67,NA,"9+","23.5 S",3,23.5,0.0425531914893617
"150ER",150,"ER",68,0,"0+","18.5 S",7,18.5,0.0540540540540541
"150TM",150,"TM",69,0,"6-","2.20 S",6,2.2,0.454545454545455
"150TM",150,"TM",69,671.3,"10+","5.2 MS",3,0.0052,192.307692307692
"150LU",150,"LU",71,0,"2+","45 MS",3,0.045,22.2222222222222
"151LA",151,"LA",57,0,"1/2+","0.457 S",NA,0.457,2.18818380743982
"151CE",151,"CE",58,0,"5/2+","1.76 S",6,1.76,0.568181818181818
"151PR",151,"PR",59,0,"3/2-","18.90 S",7,18.9,0.0529100529100529
"151ND",151,"ND",60,0,"3/2+","12.44 M",7,746.4,0.00133976420150054
"151PM",151,"PM",61,0,"5/2+","28.40 H",4,102240,9.78090766823161e-06
"151SM",151,"SM",62,0,"5/2-","90 Y",8,2840184000,3.52089864600322e-10
"151EU",151,"EU",63,0,"5/2+","1.7E+18 Y",NA,5.364792e+25,1.86400516553111e-26
"151GD",151,"GD",64,0,"7/2-","123.9 D",10,10704960,9.34146414372403e-08
"151TB",151,"TB",65,0,"1/2+","17.609 H",14,63392.4,1.57747616433516e-05
"151TB",151,"TB",65,99.53,"11/2-","25 S",3,25,0.04
"151TB",151,"TB",65,99.53,"11/2-","25 S",3,25,0.04
"151TB",151,"TB",65,99.5,"11/2-","25 S",3,25,0.04
"151TB",151,"TB",65,99.48,"11/2-","25 S",3,25,0.04
"151TB",151,"TB",65,99.6,"11/2-","25 S",3,25,0.04
"151DY",151,"DY",66,0,"7/2-","17.9 M",3,1074,0.000931098696461825
"151HO",151,"HO",67,0,"11/2-","35.2 S",1,35.2,0.0284090909090909
"151HO",151,"HO",67,41,"1/2+","47.2 S",13,47.2,0.0211864406779661
"151ER",151,"ER",68,0,"7/2-","23.5 S",20,23.5,0.0425531914893617
"151ER",151,"ER",68,2586,"27/2-","0.58 S",2,0.58,1.72413793103448
"151ER",151,"ER",68,2585.8,"27/2-","0.58 S",2,0.58,1.72413793103448
"151TM",151,"TM",69,0,"11/2-","4.17 S",11,4.17,0.239808153477218
"151TM",151,"TM",69,NA,"1/2+","6.6 S",20,6.6,0.151515151515152
"151YB",151,"YB",70,0,"1/2+","1.6 S",1,1.6,0.625
"151YB",151,"YB",70,NA,"11/2-","1.6 S",1,1.6,0.625
"151LU",151,"LU",71,0,"11/2-","80.6 MS",20,0.0806,12.4069478908189
"152BA",152,"BA",56,0,"0+","0.139 S",8,0.139,7.19424460431655
"152LA",152,"LA",57,0,"2-","0.298 S",NA,0.298,3.35570469798658
"152CE",152,"CE",58,0,"0+","1.4 S",2,1.4,0.714285714285714
"152PR",152,"PR",59,0,"4+","3.57 S",18,3.57,0.280112044817927
"152ND",152,"ND",60,0,"0+","11.4 M",2,684,0.00146198830409357
"152PM",152,"PM",61,0,"1+","4.12 M",8,247.2,0.0040453074433657
"152PM",152,"PM",61,150,"4-","7.52 M",8,451.2,0.00221631205673759
"152PM",152,"PM",61,NA,"8","13.8 M",2,828,0.00120772946859903
"152EU",152,"EU",63,0,"3-","13.517 Y",9,426564079.2,2.34431366531249e-09
"152EU",152,"EU",63,45.5998,"0-","9.3116 H",13,33521.76,2.98313692359828e-05
"152EU",152,"EU",63,147.86,"8-","96 M",1,5760,0.000173611111111111
"152EU",152,"EU",63,147.81,"8-","96 M",1,5760,0.000173611111111111
"152EU",152,"EU",63,45.5994,"0-","9.3116 H",13,33521.76,2.98313692359828e-05
"152GD",152,"GD",64,0,"0+","1.08E14 Y",8,3.4082208e+21,2.93408220500268e-22
"152TB",152,"TB",65,0,"2-","17.5 H",1,63000,1.58730158730159e-05
"152TB",152,"TB",65,501.74,"8+","4.2 M",1,252,0.00396825396825397
"152TB",152,"TB",65,501.74,"8+","4.2 M",1,252,0.00396825396825397
"152DY",152,"DY",66,0,"0+","2.38 H",2,8568,0.00011671335200747
"152HO",152,"HO",67,0,"2-","161.8 S",3,161.8,0.00618046971569839
"152HO",152,"HO",67,160,"9+","49.8 S",2,49.8,0.0200803212851406
"152ER",152,"ER",68,0,"0+","10.3 S",1,10.3,0.0970873786407767
"152TM",152,"TM",69,0,"2-","8.0 S",10,8,0.125
"152TM",152,"TM",69,NA,"9+","5.2 S",6,5.2,0.192307692307692
"152YB",152,"YB",70,0,"0+","3.03 S",6,3.03,0.33003300330033
"153ND",153,"ND",60,0,"3/2-","31.6 S",10,31.6,0.0316455696202532
"153PM",153,"PM",61,0,"5/2-","5.25 M",2,315,0.00317460317460317
"153SM",153,"SM",62,0,"3/2+","46.284 H",4,166622.4,6.00159402337261e-06
"153SM",153,"SM",62,98.39,"11/2-","10.6 MS",3,0.0106,94.3396226415094
"153GD",153,"GD",64,0,"3/2-","240.4 D",10,20770560,4.81450668638689e-08
"153TB",153,"TB",65,0,"5/2+","2.34 D",1,202176,4.94618550174106e-06
"153DY",153,"DY",66,0,"7/2-","6.4 H",1,23040,4.34027777777778e-05
"153HO",153,"HO",67,0,"11/2-","2.01 M",3,120.6,0.00829187396351575
"153HO",153,"HO",67,68.7,"1/2+","9.3 M",5,558,0.0017921146953405
"153ER",153,"ER",68,0,"7/2-","37.1 S",2,37.1,0.0269541778975741
"153TM",153,"TM",69,0,"11/2-","1.48 S",1,1.48,0.675675675675676
